Date,Lane,Lane Name,Direction,Direction Name,Speed (mph),Headway (s),Gap (s),Flags,Flag Text
2018-02-02 17:00:01.030,1,NE_NS,1,NorthEast,9.321,2.04,,5,Friday
2018-02-02 17:00:01.090,2,NE_OS,1,NorthEast,23.613000000000003,3.316,,5,Friday
2018-02-02 17:00:04.020,2,NE_OS,1,NorthEast,26.718000000000004,4.186,2.855,5,Friday
2018-02-02 17:00:10.020,2,NE_OS,1,NorthEast,29.825,5.1,,5,Friday
2018-02-02 17:00:17.060,2,NE_OS,1,NorthEast,22.369,9.05,6.092,5,Friday
2018-02-02 17:00:19.060,2,NE_OS,1,NorthEast,20.506,2.891,1.52,5,Friday
2018-02-02 17:00:24.080,2,NE_OS,1,NorthEast,11.807,10.137,4.742,5,Friday
2018-02-02 17:00:36.020,2,NE_OS,1,NorthEast,19.884,8.044,11.604,5,Friday
2018-02-02 17:00:38.040,2,NE_OS,1,NorthEast,21.126,2.753,1.626,5,Friday
2018-02-02 17:00:40.020,2,NE_OS,1,NorthEast,19.262,2.671,1.334,5,Friday
2018-02-02 17:00:42.010,1,NE_NS,1,NorthEast,1.244,,,5,Friday
2018-02-02 17:00:43.040,2,NE_OS,1,NorthEast,19.262,3.89,2.724,5,Friday
2018-02-02 17:00:46.050,1,NE_NS,1,NorthEast,7.456,1.05,,5,Friday
2018-02-02 17:00:49.010,1,NE_NS,1,NorthEast,9.941,3.15,1.7,5,Friday
2018-02-02 17:00:52.080,1,NE_NS,1,NorthEast,15.533,2.52,1.8,5,Friday
2018-02-02 17:00:52.090,2,NE_OS,1,NorthEast,24.855,7.155,8.001,5,Friday
2018-02-02 17:00:54.040,1,NE_NS,1,NorthEast,14.914,3.675,2.082,5,Friday
2018-02-02 17:00:57.070,1,NE_NS,1,NorthEast,14.914,3.15,1.67,5,Friday
2018-02-02 17:00:58.010,2,NE_OS,1,NorthEast,19.884,8.381,5.831,5,Friday
2018-02-02 17:01:00.000,1,NE_NS,1,NorthEast,16.777,3.733,2.7,5,Friday
2018-02-02 17:01:00.090,2,NE_OS,1,NorthEast,22.369,2.2,1.294,5,Friday
2018-02-02 17:01:01.040,2,NE_OS,1,NorthEast,22.991,2.092,1.05,5,Friday
2018-02-02 17:01:03.070,1,NE_NS,1,NorthEast,13.67,4.255,2.087,5,Friday
2018-02-02 17:01:07.040,1,NE_NS,1,NorthEast,12.428,6.3,3.996,5,Friday
2018-02-02 17:01:23.010,2,NE_OS,1,NorthEast,31.691,21.7,21.262,5,Friday
2018-02-02 17:01:29.050,2,NE_OS,1,NorthEast,29.205,7.315,6.04,5,Friday
2018-02-02 17:01:32.090,2,NE_OS,1,NorthEast,25.476,3.38,2.048,5,Friday
2018-02-02 17:01:34.070,2,NE_OS,1,NorthEast,22.991,2.53,1.405,5,Friday
2018-02-02 17:01:36.050,2,NE_OS,1,NorthEast,22.991,2.286,1.391,5,Friday
2018-02-02 17:01:37.040,2,NE_OS,1,NorthEast,23.613000000000003,2.511,1.482,5,Friday
2018-02-02 17:01:42.000,2,NE_OS,1,NorthEast,25.476,4.829,4.193,5,Friday
2018-02-02 17:01:54.010,2,NE_OS,1,NorthEast,27.34,12.1,11.687,5,Friday
2018-02-02 17:01:55.090,1,NE_NS,1,NorthEast,4.97,47.5,46.492,5,Friday
2018-02-02 17:01:57.040,2,NE_OS,1,NorthEast,26.718000000000004,3.851,2.875,5,Friday
2018-02-02 17:01:59.030,1,NE_NS,1,NorthEast,3.729,6.6,3.68,5,Friday
2018-02-02 17:02:00.080,2,NE_OS,1,NorthEast,21.126,3.653,2.015,5,Friday
2018-02-02 17:02:12.070,2,NE_OS,1,NorthEast,27.34,11.9,11.455,5,Friday
2018-02-02 17:02:12.090,1,NE_NS,1,NorthEast,2.485,19.8,11.7,5,Friday
2018-02-02 17:02:14.040,2,NE_OS,1,NorthEast,26.098000000000003,3.386,2.332,5,Friday
2018-02-02 17:02:17.050,1,NE_NS,1,NorthEast,8.078,1.523,,5,Friday
2018-02-02 17:02:19.040,2,NE_OS,1,NorthEast,27.34,5.236,4.614,5,Friday
2018-02-02 17:02:21.070,2,NE_OS,1,NorthEast,29.825,1.725,0.858,5,Friday
2018-02-02 17:02:25.090,2,NE_OS,1,NorthEast,33.554,4.167,3.87,5,Friday
2018-02-02 17:02:28.080,1,NE_NS,1,NorthEast,14.914,6.525,9.192,5,Friday
2018-02-02 17:02:36.060,1,NE_NS,1,NorthEast,6.214,21.96,6.75,5,Friday
2018-02-02 17:02:39.060,1,NE_NS,1,NorthEast,12.428,3.24,0.624,5,Friday
2018-02-02 17:02:41.050,1,NE_NS,1,NorthEast,16.155,3.115,2.108,5,Friday
2018-02-02 17:02:44.050,1,NE_NS,1,NorthEast,16.777,3.733,2.183,5,Friday
2018-02-02 17:02:49.040,1,NE_NS,1,NorthEast,21.126,4.5,3.873,5,Friday
2018-02-02 17:02:53.090,1,NE_NS,1,NorthEast,16.777,5.2,3.076,5,Friday
2018-02-02 17:03:05.090,1,NE_NS,1,NorthEast,9.321,23.16,11.453,5,Friday
2018-02-02 17:03:16.000,1,NE_NS,1,NorthEast,11.807,10.042,9.9,5,Friday
2018-02-02 17:03:20.030,2,NE_OS,1,NorthEast,21.126,55.4,54.98,5,Friday
2018-02-02 17:03:22.060,2,NE_OS,1,NorthEast,27.962,1.4,0.876,5,Friday
2018-02-02 17:03:25.030,2,NE_OS,1,NorthEast,26.098000000000003,4.586,3.364,5,Friday
2018-02-02 17:03:27.030,2,NE_OS,1,NorthEast,26.098000000000003,2.486,1.606,5,Friday
2018-02-02 17:03:30.080,2,NE_OS,1,NorthEast,23.613000000000003,3.363,2.123,5,Friday
2018-02-02 17:03:33.020,2,NE_OS,1,NorthEast,23.613000000000003,3.979,3.021,5,Friday
2018-02-02 17:03:36.090,2,NE_OS,1,NorthEast,24.855,3.06,2.217,5,Friday
2018-02-02 17:03:38.010,1,NE_NS,1,NorthEast,11.807,22.1,21.115,5,Friday
2018-02-02 17:03:38.090,2,NE_OS,1,NorthEast,32.931999999999995,1.902,1.604,5,Friday
2018-02-02 17:03:40.050,2,NE_OS,1,NorthEast,22.369,4.4,2.165,5,Friday
2018-02-02 17:03:41.010,1,NE_NS,1,NorthEast,11.807,4.168,2.147,5,Friday
2018-02-02 17:03:42.090,2,NE_OS,1,NorthEast,22.991,1.995,0.93,5,Friday
2018-02-02 17:03:43.040,2,NE_OS,1,NorthEast,24.233,1.985,1.101,5,Friday
2018-02-02 17:03:46.080,2,NE_OS,1,NorthEast,21.126,3.441,2.003,5,Friday
2018-02-02 17:03:48.000,2,NE_OS,1,NorthEast,19.884,3.094,1.755,5,Friday
2018-02-02 17:03:49.020,1,NE_NS,1,NorthEast,21.747,5.091,7.285,5,Friday
2018-02-02 17:03:56.090,1,NE_NS,1,NorthEast,27.962,5.64,6.258,5,Friday
2018-02-02 17:03:58.000,1,NE_NS,1,NorthEast,26.718000000000004,2.721,1.764,5,Friday
2018-02-02 17:04:02.020,2,NE_OS,1,NorthEast,30.447,14.2,13.705,5,Friday
2018-02-02 17:04:03.070,1,NE_NS,1,NorthEast,22.369,6.2,4.348,5,Friday
2018-02-02 17:04:07.000,1,NE_NS,1,NorthEast,30.447,3.673,3.88,5,Friday
2018-02-02 17:04:10.020,1,NE_NS,1,NorthEast,31.069000000000003,3.564,2.869,5,Friday
2018-02-02 17:04:15.090,1,NE_NS,1,NorthEast,22.369,7.15,4.383,5,Friday
2018-02-02 17:04:29.050,2,NE_OS,1,NorthEast,33.554,27.3,26.984,5,Friday
2018-02-02 17:04:31.080,2,NE_OS,1,NorthEast,32.31,1.869,0.987,5,Friday
2018-02-02 17:04:32.090,1,NE_NS,1,NorthEast,27.962,17.0,16.57,5,Friday
2018-02-02 17:04:33.090,2,NE_OS,1,NorthEast,31.691,2.506,1.768,5,Friday
2018-02-02 17:04:34.000,2,NE_OS,1,NorthEast,33.554,1.433,0.789,5,Friday
2018-02-02 17:04:34.030,1,NE_NS,1,NorthEast,28.584,2.778,2.016,5,Friday
2018-02-02 17:04:36.000,1,NE_NS,1,NorthEast,26.098000000000003,2.357,1.363,5,Friday
2018-02-02 17:04:41.020,1,NE_NS,1,NorthEast,19.262,7.781,4.831,5,Friday
2018-02-02 17:04:43.070,1,NE_NS,1,NorthEast,21.747,1.903,1.012,5,Friday
2018-02-02 17:04:44.000,1,NE_NS,1,NorthEast,20.506,1.964,0.775,5,Friday
2018-02-02 17:04:46.060,1,NE_NS,1,NorthEast,19.884,2.362,1.12,5,Friday
2018-02-02 17:04:47.010,1,NE_NS,1,NorthEast,18.64,2.4,0.994,5,Friday
2018-02-02 17:04:47.090,2,NE_OS,1,NorthEast,28.584,12.9,12.627,5,Friday
2018-02-02 17:04:49.010,1,NE_NS,1,NorthEast,18.021,2.855,1.364,5,Friday
2018-02-02 17:04:50.030,2,NE_OS,1,NorthEast,25.476,4.39,3.017,5,Friday
